"","LF_Name","LC_Name","Temp_Moist","RealmWE_ID","WE_ID","Realm_ID","RealmClass","LF_Class","MoistClass","TempClass","LC_Class","Realm_Name","Temp_Name","Moist_Name","WEcosystm","RWEcosystm","LandC_Type","Code","CR_HEX","LC_HEX","LF_HEX","TempMoistClass","WTE_code","WTE_HEX"
"77","Hills","Cropland","Warm Temperate Dry",1190,190,1000,1,2,2,3,1,"Afrotropic","Warm Temperate","Dry","Warm Temperate Dry Cropland on Hills","Afrotropic Warm Temperate Dry Cropland on Hills","Converted",3221,"#A0D99A66","#B5D99EFF","#7DC756B2",8,1208,"#95d17e"
"78","Hills","Shrubland","Polar Moist",2020,20,2000,2,2,3,6,2,"Antarctica","Polar","Moist","Polar Moist Shrubland on Hills","Antarctica Polar Moist Shrubland on Hills","Natural",6322,"#BFBFBF66","#A8A800FF","#7DC756B2",18,2218,"#9fbe71"
"79","Hills","Cropland","Tropical Moist",1390,390,1000,1,2,3,5,1,"Afrotropic","Tropical","Moist","Tropical Moist Cropland on Hills","Afrotropic Tropical Moist Cropland on Hills","Converted",5321,"#66240566","#B5D99EFF","#7DC756B2",15,1215,"#7e8943"
"80","Hills","Grassland","Polar Moist",6021,21,6000,6,2,3,6,4,"Neotropic","Polar","Moist","Polar Moist Grassland on Hills","Neotropic Polar Moist Grassland on Hills","Natural",6324,"#BFBFBF66","#789E60FF","#7DC756B2",18,4218,"#96bc82"
"81","Hills","Sparsley or Non vegetated","Cool Temperate Moist",3104,104,3000,3,2,3,2,6,"Australasia","Cool Temperate","Moist","Cool Temperate Moist Sparsley or Non vegetated on Hills","Australasia Cool Temperate Moist Sparsley or Non vegetated on Hills","Natural",2326,"#005C3266","#D9D99EFF","#7DC756B2",6,6206,"#5c9f55"
"82","Hills","Grassland","Cool Temperate Dry",6149,149,6000,6,2,2,2,4,"Neotropic","Cool Temperate","Dry","Cool Temperate Dry Grassland on Hills","Neotropic Cool Temperate Dry Grassland on Hills","Natural",2224,"#238C4666","#789E60FF","#7DC756B2",5,4205,"#58a851"
"83","Hills","Forest","Sub Tropical Desert",8353,353,8000,8,2,1,4,3,"Palearctic","Sub Tropical","Desert","Sub Tropical Desert Forest on Hills","Palearctic Sub Tropical Desert Forest on Hills","Natural",4123,"#FFF7BA66","#267300FF","#7DC756B2",10,3210,"#a1cb6f"
"84","Hills","Settlement","Cool Temperate Moist",8108,108,8000,8,2,3,2,5,"Palearctic","Cool Temperate","Moist","Cool Temperate Moist Settlement on Hills","Palearctic Cool Temperate Moist Settlement on Hills","Converted",2325,"#005C3266","#8A4343FF","#7DC756B2",6,5206,"#4d8444"
"85","Hills","Cropland","Cool Temperate Moist",5110,110,5000,5,2,3,2,1,"Nearctic","Cool Temperate","Moist","Cool Temperate Moist Cropland on Hills","Nearctic Cool Temperate Moist Cropland on Hills","Converted",2321,"#005C3266","#B5D99EFF","#7DC756B2",6,1206,"#559f55"
"86","Hills","Grassland","Tropical Dry",1359,359,1000,1,2,2,5,4,"Afrotropic","Tropical","Dry","Tropical Dry Grassland on Hills","Afrotropic Tropical Dry Grassland on Hills","Natural",5224,"#99330366","#789E60FF","#7DC756B2",14,4214,"#878437"
"87","Hills","Cropland","Warm Temperate Dry",8190,190,8000,8,2,2,3,1,"Palearctic","Warm Temperate","Dry","Warm Temperate Dry Cropland on Hills","Palearctic Warm Temperate Dry Cropland on Hills","Converted",3221,"#A0D99A66","#B5D99EFF","#7DC756B2",8,1208,"#95d17e"
"88","Hills","Forest","Sub Tropical Dry",6290,290,6000,6,2,2,4,3,"Neotropic","Sub Tropical","Dry","Sub Tropical Dry Forest on Hills","Neotropic Sub Tropical Dry Forest on Hills","Natural",4223,"#FCE30066","#267300FF","#7DC756B2",11,3211,"#a0c324"
"89","Hills","Forest","Sub Tropical Moist",6268,268,6000,6,2,3,4,3,"Neotropic","Sub Tropical","Moist","Sub Tropical Moist Forest on Hills","Neotropic Sub Tropical Moist Forest on Hills","Natural",4323,"#FCC24E66","#267300FF","#7DC756B2",12,3212,"#a0b643"
"90","Hills","Grassland","Warm Temperate Moist",7164,164,7000,7,2,3,3,4,"Oceania","Warm Temperate","Moist","Warm Temperate Moist Grassland on Hills","Oceania Warm Temperate Moist Grassland on Hills","Natural",3324,"#72C27566","#789E60FF","#7DC756B2",9,4209,"#78be64"
"91","Hills","Cropland","Tropical Dry",4336,336,4000,4,2,2,5,1,"Indomalayan","Tropical","Dry","Tropical Dry Cropland on Hills","Indomalayan Tropical Dry Cropland on Hills","Converted",5221,"#99330366","#B5D99EFF","#7DC756B2",14,1214,"#928f42"
